pdb_id1,pdb_id2,tm_score,rmsd
5kan,4q2z,0.14701,0.05307002365589142
2r0l,6al1,0.24806,0.0020200975704938173
6bpd,6avq,0.2726,0.15955117344856262
4k23,4yr6,0.25143,0.05923628807067871
4fg6,4r9y,0.33608,0.09616665542125702
4z95,6pxr,0.36819,0.029757341369986534
4gms,3a67,0.42979,0.0067995167337358
5ukn,4rbp,0.39165,0.6392984986305237
7bg1,1m7i,0.48416,0.0
5x2n,2ajx,0.23729,0.02045075222849846
7rxp,7s6d,0.17086,0.913637101650238
4yfl,3qnx,0.26924,1.2858573198318481
7rdm,6lyn,0.36737,2.087552070617676
6jht,3u0w,0.56541,0.0071465387009084225
6tys,6xoc,0.20343,1.125564694404602
6ulc,4nx3,0.36347,1.18325936794281
4xnu,7bsd,0.23787,0.4099593162536621
